line_no,list_name,topic,md_title,source_note,paper_url,arxiv_id,is_arxiv_url,occurrences_in_markdown
106,The NLP,Computational Social Science and Social Media,A Comprehensive Survey on Community Detection with Deep Learning.,arXiv 2021,https://arxiv.org/pdf/2105.12584.pdf,2105.12584,True,2
110,The NLP,Computational Social Science and Social Media,"A Survey of Fake News: Fundamental Theories, Detection Methods, and Opportunities.",ACM Comput. Surv. 2021,https://arxiv.org/abs/1812.00315,1812.00315,True,1
114,The NLP,Computational Social Science and Social Media,"A Survey of Race, Racism, and Anti-Racism in NLP.",ACL 2021,https://arxiv.org/abs/2106.11410,2106.11410,True,1
118,The NLP,Computational Social Science and Social Media,A Survey on Computational Propaganda Detection.,IJCAI 2020,https://arxiv.org/pdf/2007.08024.pdf,2007.08024,True,1
126,The NLP,Computational Social Science and Social Media,Computational Sociolinguistics: A Survey.,Comput. Linguistics 2016,https://arxiv.org/abs/1508.07544,1508.07544,True,1
130,The NLP,Computational Social Science and Social Media,Confronting Abusive Language Online: A Survey from the Ethical and Human Rights Perspective.,J. Artif. Intell. Res. 2021,https://arxiv.org/abs/2012.12305,2012.12305,True,1
134,The NLP,Computational Social Science and Social Media,From Symbols to Embeddings: A Tale of Two Representations in Computational Social Science.,J. Soc. Comput. 2021,https://arxiv.org/pdf/2106.14198,2106.14198,True,1
138,The NLP,Computational Social Science and Social Media,"Language (Technology) is Power: A Critical Survey of ""Bias"" in NLP.",ACL 2020,https://arxiv.org/abs/2005.14050,2005.14050,True,1
142,The NLP,Computational Social Science and Social Media,Societal Biases in Language Generation: Progress and Challenges.,ACL 2021,https://arxiv.org/pdf/2105.04054.pdf,2105.04054,True,1
146,The NLP,Computational Social Science and Social Media,Tackling Online Abuse: A Survey of Automated Abuse Detection Methods.,arXiv 2019,https://arxiv.org/pdf/1908.06024.pdf,1908.06024,True,1
150,The NLP,Computational Social Science and Social Media,When do Word Embeddings Accurately Reflect Surveys on our Beliefs About People?.,ACL 2020,https://arxiv.org/abs/2004.12043,2004.12043,True,1
156,The NLP,Dialogue and Interactive Systems,A Survey of Arabic Dialogues Understanding for Spontaneous Dialogues and Instant Message.,arXiv 2015,https://arxiv.org/abs/1505.03084,1505.03084,True,1
164,The NLP,Dialogue and Interactive Systems,A Survey of Document Grounded Dialogue Systems (DGDS).,arXiv 2020,https://arxiv.org/abs/2004.13818,2004.13818,True,1
168,The NLP,Dialogue and Interactive Systems,A Survey of Intent Classification and Slot-Filling Datasets for Task-Oriented Dialog.,arXiv 2022,https://arxiv.org/pdf/2207.13211.pdf,2207.13211,True,1
172,The NLP,Dialogue and Interactive Systems,"A Survey of Natural Language Generation Techniques with a Focus on Dialogue Systems - Past, Present and Future Directions.",arXiv 2019,https://arxiv.org/abs/1906.00500,1906.00500,True,1
176,The NLP,Dialogue and Interactive Systems,A survey of neural models for the automatic analysis of conversation: Towards a better integration of the social sciences.,arXiv 2022,https://arxiv.org/pdf/2203.16891.pdf,2203.16891,True,1
180,The NLP,Dialogue and Interactive Systems,A Survey on Dialog Management: Recent Advances and Challenges.,arXiv 2020,https://arxiv.org/abs/2005.02233,2005.02233,True,1
184,The NLP,Dialogue and Interactive Systems,A Survey on Dialogue Systems: Recent Advances and New Frontiers.,SIGKDD Explor. 2017,https://arxiv.org/abs/1711.01731,1711.01731,True,1
188,The NLP,Dialogue and Interactive Systems,Advances in Multi-turn Dialogue Comprehension: A Survey.,arXiv 2021,https://arxiv.org/abs/2103.03125,2103.03125,True,1
192,The NLP,Dialogue and Interactive Systems,Challenges in Building Intelligent Open-domain Dialog Systems.,ACM Trans. Inf. Syst. 2020,https://arxiv.org/abs/1905.05709,1905.05709,True,1
196,The NLP,Dialogue and Interactive Systems,Conversational Agents: Theory and Applications.,arXiv 2022,https://arxiv.org/pdf/2202.03164.pdf,2202.03164,True,1
200,The NLP,Dialogue and Interactive Systems,Conversational Machine Comprehension: a Literature Review.,COLING 2020,https://arxiv.org/abs/2006.00671,2006.00671,True,1
204,The NLP,Dialogue and Interactive Systems,How to Evaluate Your Dialogue Models: A Review of Approaches.,arXiv 2021,https://arxiv.org/pdf/2108.01369.pdf,2108.01369,True,1
208,The NLP,Dialogue and Interactive Systems,Neural Approaches to Conversational AI.,ACL 2018,https://arxiv.org/pdf/1809.08267,1809.08267,True,1
220,The NLP,Dialogue and Interactive Systems,Recent Advances and Challenges in Task-oriented Dialog System.,arXiv 2020,https://arxiv.org/pdf/2003.07490,2003.07490,True,1
224,The NLP,Dialogue and Interactive Systems,Recent Advances in Deep Learning Based Dialogue Systems: A Systematic Survey.,arXiv 2021,https://arxiv.org/pdf/2105.04387.pdf,2105.04387,True,1
228,The NLP,Dialogue and Interactive Systems,Utterance-level Dialogue Understanding: An Empirical Study.,arXiv 2020,https://arxiv.org/abs/2009.13902,2009.13902,True,1
